filename,extension,date,work,label,project
Moiré video,.mp4,2015,Moiré,hero,Celebrated remedy for disorder
Moiré screenshot1,.jpg,2015,Moiré,screenshot,Celebrated remedy for disorder
Moiré screenshot2,.jpg,2015,Moiré,screenshot,Celebrated remedy for disorder
Moiré screenshot3,.jpg,2015,Moiré,screenshot,Celebrated remedy for disorder
Moiré screenshot4,.jpg,2015,Moiré,screenshot,Celebrated remedy for disorder
Moiré screenshot5,.jpg,2015,Moiré,screenshot,Celebrated remedy for disorder
Moiré screenshot6,.jpg,2015,Moiré,screenshot,Celebrated remedy for disorder
Moiré expo1,.jpg,2015,Moiré,Installation,Celebrated remedy for disorder
Cleanroom,.jpg,2016,Cleanroom,hero,Celebrated remedy for disorder
Cleanroom expo1,.jpg,2016,Cleanroom,Installation,Celebrated remedy for disorder
Cleanroom expo2,.jpg,2016,Cleanroom,Installation,Celebrated remedy for disorder
Chromatic aberration,.jpg,2016,Chromatic aberration,hero,Celebrated remedy for disorder
Chromatic aberration detail1,.jpg,2016,Chromatic aberration,detail,Celebrated remedy for disorder
Chromatic aberration detail2,.jpg,2016,Chromatic aberration,detail,Celebrated remedy for disorder
Chromatic aberration expo1,.jpg,2016,Chromatic aberration,Installation,Celebrated remedy for disorder
Chromatic aberration expo2,.jpg,2016,Chromatic aberration,Installation,Celebrated remedy for disorder
Fruit analysis 1,.jpg,2017,Fruit analysis,hero,Celebrated remedy for disorder
Fruit analysis 2,.jpg,2017,Fruit analysis,hero,Celebrated remedy for disorder
Fruit analysis 3,.jpg,2017,Fruit analysis,hero,Celebrated remedy for disorder
Austrian Alps,.jpg,2017,Austrian Alps,hero,Celebrated remedy for disorder
Austrian Alps expo1,.jpg,2017,Austrian Alps,Installation,Celebrated remedy for disorder
Agfa-Gevaert Laserscan video,.mp4,2017,"3D Laser Scan pointcloud, Agfa-Gevaert ",hero,Celebrated remedy for disorder
Agfa-Gevaert Laserscan cloud,pointcloud,2017,"3D Laser Scan pointcloud, Agfa-Gevaert ",video,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot1,.jpg,2017,"3D Laser Scan pointcloud, Agfa-Gevaert ",screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot2,.jpg,2017,"3D Laser Scan pointcloud, Agfa-Gevaert ",screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot3,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot4,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot5,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot6,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot7,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot8,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot9,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot10,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Agfa-Gevaert Laserscan screenshot11,.jpg,2016,Fluorescent Mineral,screenshot,Celebrated remedy for disorder
Linden Tree,.jpg,2017,Linden Tree,hero,Celebrated remedy for disorder
Linden Tree detail1,.jpg,2017,Linden Tree,detail,Celebrated remedy for disorder
Linden Tree detail2,.jpg,2017,Linden Tree,detail,Celebrated remedy for disorder
Linden Tree detail3,.jpg,2017,Linden Tree,detail,Celebrated remedy for disorder
Linden Tree detail4,.jpg,2017,Linden Tree,detail,Celebrated remedy for disorder
Linden Tree detail5,.jpg,2017,Linden Tree,detail,Celebrated remedy for disorder
Linden Tree detail6,.jpg,2017,Linden Tree,detail,Celebrated remedy for disorder
Linden Tree expo1,.jpg,2017,Linden Tree,Installation,Celebrated remedy for disorder
Linden Tree expo2,.jpg,2017,Linden Tree,Installation,Celebrated remedy for disorder
Linden Tree expo3,.jpg,2017,Linden Tree,Installation,Celebrated remedy for disorder
Linden Tree expo4,.jpg,2017,Linden Tree,Installation,Celebrated remedy for disorder
Jolly Silver,.jpg,2017,Jolly Silver,hero,Celebrated remedy for disorder
Jolly Silver expo1,.jpg,2017,Jolly Silver,Installation,Celebrated remedy for disorder
Jolly Silver expo2,.jpg,2017,Jolly Silver,Installation,Celebrated remedy for disorder
